Fecha,Año,Predicción_PM2.5,CO,NO,NO2,NOX,O3,PM10,SO2
2021-01-01,2021,11.678777132696869,0.4177820267686424,5.712962962962963,16.977272727272727,23.261574074074076,29.765494137353432,54.32727272727273,1.125912408759124
2021-01-02,2021,21.611067305837558,0.220863309352518,2.333333333333333,13.038095238095238,15.717261904761903,30.46103896103896,26.996296296296297,4.383458646616542
2021-01-03,2021,32.27737601669065,0.4103386454183267,11.95538057742782,24.086315789473684,36.86351706036746,46.73491773308958,82.6,4.701052631578947
2021-01-04,2021,16.40784687167742,0.1159166666666666,1.9730392156862744,8.061630218687872,10.345588235294118,30.2014652014652,41.887468030690535,0.9689320388349516
2021-01-05,2021,14.324683241669456,0.3259315589353612,9.482222222222225,18.05494505494505,28.07111111111111,34.675438596491226,47.42153846153846,1.056112224448898
2021-01-06,2021,15.368918315818512,0.3046753246753246,7.978622327790974,16.42323651452282,24.40855106888361,40.802656546489565,42.88366336633664,6.844943820224719
2021-01-07,2021,19.60183170552097,0.3935334872979215,9.37844611528822,20.0,29.09523809523809,15.919075144508671,18.522959183673468,1.0894495412844036
2021-01-08,2021,22.13241660761232,0.4215692821368948,8.075396825396826,19.54878048780488,27.38492063492064,28.1089552238806,25.07807807807808,1.8614357262103507
2021-01-09,2021,11.815215062311236,0.4889325842696629,9.986425339366516,24.477551020408164,34.05429864253394,19.992025518341308,19.537396121883656,1.1687612208258529
2021-01-10,2021,12.468046061264333,0.4953266331658291,16.946666666666665,24.18035426731079,41.41254752851711,17.826589595375722,21.5352798053528,1.1003649635036497
2021-01-11,2021,30.8460604839832,0.4034525939177102,12.901498929336189,24.42273534635879,37.61456102783726,26.388349514563107,40.24111675126903,4.342967244701349
2021-01-12,2021,15.836546291148174,0.4427287066246057,25.278625954198475,25.28405315614618,51.07442748091603,17.243491577335377,48.29016786570743,1.823834196891192
2021-01-13,2021,24.756204861069776,,,,,,,
2021-01-14,2021,20.601864579601997,,,,,,,
2021-01-15,2021,9.05409076789612,,,,,,,
2021-01-16,2021,19.532027703656883,,,,,,,
2021-01-17,2021,19.905044890499695,,,,,,,
2021-01-18,2021,18.940036585918293,,,,,,,
2021-01-19,2021,19.877921303998356,,,,,,,
