Fecha,Real_PM2.5,Predicted_PM2.5
2022-01-01,58.41483516483517,54.86414804713947
2022-01-02,20.53257790368272,26.708417936284672
2022-01-03,28.67058823529412,30.934688495929446
2022-01-04,32.527687296416936,32.32230047122397
2022-01-05,27.703125,30.919191904815147
2022-01-06,25.186746987951807,25.750531196965973
2022-01-07,19.76737160120846,22.608192615214243
2022-01-08,21.957831325301203,20.214597692800833
2022-01-09,14.951951951951951,16.562683747273073
2022-01-10,13.878980891719744,16.94543687107534
2022-02-01,12.029900332225914,14.374679348203275
2022-02-02,13.623762376237623,20.26045106009411
2022-02-03,11.218430034129693,13.57459870705177
2022-02-04,10.969594594594597,17.07375107391196
2022-02-05,23.206451612903223,25.607446775617213
2022-02-06,20.17628205128205,21.700987756131827
2022-02-07,20.208469055374596,18.076487217910277
2022-02-08,26.62962962962963,23.445655364099853
2022-02-09,14.486792452830189,15.795900371984192
2022-02-10,10.2625,15.818941950051292
2022-03-01,17.862676056338028,26.081356538996523
2022-03-02,21.452554744525543,25.872305371650917
2022-03-03,24.53900709219858,30.63177387007436
2022-03-04,22.04635761589404,27.47562642815608
2022-03-05,19.008982035928145,21.53124403604642
2022-03-06,21.301492537313436,25.44208109996612
2022-03-07,21.17611940298508,23.822380574382436
2022-03-08,15.78978978978979,19.87520183493015
2022-03-09,10.642105263157896,13.387554248441917
2022-03-10,13.809859154929578,20.626120855388017
2022-04-01,27.42038216560509,29.399066841520938
2022-04-02,32.882506527415146,34.68787066215736
2022-04-03,29.991202346041057,34.943879666795695
2022-04-04,25.75070821529745,33.27931572464569
2022-04-05,23.00574712643678,27.309975537717442
2022-04-06,32.66310160427808,34.40670936697299
2022-04-07,31.75668449197861,59.27277947317237
2022-04-08,34.77197802197802,32.661652658407306
2022-04-09,32.94561933534743,27.215610097799075
2022-04-10,23.08132530120482,20.30507039335101
2022-05-01,24.933098591549296,23.62469227774511
2022-05-02,26.55208333333333,24.691726487780453
2022-05-03,29.58662613981763,32.44709654498762
2022-05-04,30.37458193979933,35.64504034437717
2022-05-05,33.65993265993266,36.614702011616316
2022-05-06,30.523364485981308,32.695391400907006
2022-05-07,22.57638888888889,22.581551483371985
2022-05-08,26.13915857605178,27.925417659001987
2022-05-09,23.915129151291517,26.276014074553494
2022-05-10,18.774193548387096,23.556702259010525
2022-06-01,14.602150537634408,16.715579282473236
2022-06-02,9.681159420289855,13.097277296100955
2022-06-03,13.848375451263538,18.213260827218203
2022-06-04,20.09375,22.064412437058312
2022-06-05,18.56794425087108,19.951498698984505
2022-06-06,15.636363636363637,22.80785738476584
2022-06-07,20.83070866141732,26.99282861496248
2022-06-08,27.39271255060729,29.836891497782577
2022-06-09,12.88936170212766,15.188466581980208
2022-06-10,14.656521739130437,17.583303392215797
2022-07-01,18.67961165048544,21.237728820091828
2022-07-02,18.347432024169184,17.75459728182069
2022-07-03,14.945859872611464,14.452934422994485
2022-07-04,9.210116731517507,11.19994006677545
2022-07-05,9.615384615384617,14.568015978659444
2022-07-06,19.75,18.681700266288857
2022-07-07,15.156666666666666,15.912878161186395
2022-07-08,15.664451827242525,15.038480263815288
2022-07-09,13.764150943396226,13.02331337013681
2022-07-10,15.355263157894736,13.121533891540706
2022-08-01,10.316091954022989,12.01379652409853
2022-08-02,18.115987460815045,18.16564051210156
2022-08-03,16.897832817337463,17.270629503434524
2022-08-04,17.702857142857145,20.814522569428817
2022-08-05,16.871148459383754,18.902221292382023
2022-08-06,18.18361581920904,18.949818779277226
2022-08-07,12.929230769230768,12.19672232505368
2022-08-08,9.25089605734767,9.664782020883246
2022-08-09,12.49655172413793,12.297502183136205
2022-08-10,14.672597864768685,15.213675074354487
2022-09-01,9.9468085106383,10.501315733478425
2022-09-02,7.483050847457627,8.27298511932289
2022-09-03,7.471544715447155,7.678131370526261
2022-09-04,7.390350877192983,7.482407516852323
2022-09-05,4.872727272727273,5.883639163964826
2022-09-06,12.942567567567568,12.361594343968566
2022-09-07,10.34313725490196,10.611415940501114
2022-09-08,8.448717948717949,9.190129704966816
2022-09-09,15.326283987915408,17.074489473668827
2022-09-10,16.047169811320753,18.008960018524178
2022-10-01,23.07361963190184,22.312276824082478
2022-10-02,21.81869688385269,20.17476204232482
2022-10-03,25.56772334293948,25.04101629766431
2022-10-04,22.08150470219436,22.6520538175122
2022-10-05,23.8,19.726670385470705
2022-10-06,17.365079365079364,14.417943379312874
2022-10-07,13.9054441260745,14.408515458211543
2022-10-08,7.305084745762712,7.950725718066675
2022-10-09,5.074175824175824,6.325508250075525
2022-10-10,7.148760330578512,10.021163136372605
2022-11-01,29.026315789473685,22.736562330526972
2022-11-02,24.489473684210527,18.321076825330252
2022-11-03,26.58244680851064,23.76682721173751
2022-11-04,24.665768194070083,22.760010167333736
2022-11-05,28.183333333333334,21.506250236302478
2022-11-06,26.92559523809524,23.574408801321848
2022-11-07,14.03088803088803,17.63096532880274
2022-11-08,9.445229681978798,10.83029588066831
2022-11-09,14.76602564102564,17.039329464637177
2022-11-10,17.649700598802394,20.95629220132771
2022-12-01,14.106951871657754,16.235796296384358
2022-12-02,22.08262108262108,21.87030688492537
2022-12-03,22.266666666666666,19.501939276399966
2022-12-04,10.247887323943662,13.704173393582442
2022-12-05,19.505347593582886,24.54256560265604
2022-12-06,25.388739946380696,26.814822084906687
2022-12-07,24.394736842105264,24.523821206155905
2022-12-08,27.584269662921347,26.840385284058247
2022-12-09,35.11797752808989,26.886783688826032
2022-12-10,23.88795518207283,21.99556199257058
